,img_id,img_width,img_height,tag_name,left,top,box_width,box_height,x0,x1,y0,y1
0,000d7313-a546-46e6-a2f7-65636717eef7,1536,864,Analyser,0.38197529999999996,0.7866776,0.07777778,0.17982456,587,706,680,835
1,000d7313-a546-46e6-a2f7-65636717eef7,1536,864,Analyser,0.42765433,0.49281797,0.05308642,0.10964912,657,738,426,521
2,0078ff18-de75-4755-97f4-e85cfe7f3ac0,1536,864,Pneumatic Actuator,0.75188935,0.44358552,0.18727869,0.24432814,1155,1443,383,594
3,0078ff18-de75-4755-97f4-e85cfe7f3ac0,1536,864,Pneumatic Actuator,0.5165432,0.57308114,0.22839506,0.39692983,793,1144,495,838
4,007965b4-1a61-4660-b31f-49f59cb03d2f,1536,864,Pneumatic Actuator,0.38197529999999996,0.31869516,0.14814815,0.20175439,587,814,275,450
5,007965b4-1a61-4660-b31f-49f59cb03d2f,1536,864,Pneumatic Actuator,0.5165432,0.18492323,0.09876543,0.15570176,793,945,160,294
6,00b515d0-a26e-4b00-9dc5-dc64a16de094,360,640,Turbidimeter,0.0,0.23842669,0.9602339,0.6079078,0,346,153,542
7,00c032ea-8f50-447d-b7d9-503084db25c5,1080,810,Pump,0.40265906,0.5680182,0.10351377,0.16962026,435,547,460,597
8,00f6c06a-968b-4a45-9e70-f2cb2cbdcb12,1536,864,Aqua Drive,0.22567873,0.37617886,0.04704471,0.17316693,347,419,325,475
9,00f6c06a-968b-4a45-9e70-f2cb2cbdcb12,1536,864,Aqua Drive,0.25909716,0.36816514,0.035763413,0.14425428,398,453,318,443
10,01141812-4a1b-4e60-bb46-9bdd004d1ab6,360,640,Turbidimeter,0.065497056,0.16264415,0.7982456,0.5271829,24,311,104,441
11,0129b9c1-9ac2-4ff7-b390-21e4d4b642db,900,1600,Aqua Drive,0.20619404,0.29841197,0.33847459999999996,0.40330225,186,490,477,1123
12,0129b9c1-9ac2-4ff7-b390-21e4d4b642db,900,1600,Aqua Drive,0.5293076,0.29935223,0.34460878,0.40314528,476,787,479,1124
13,01796936-7ad2-44da-b211-c9630bc4ace2,1536,864,Pneumatic Actuator,0.4172687,0.6441489,0.09218361,0.18435223,641,783,557,716
14,01796936-7ad2-44da-b211-c9630bc4ace2,1536,864,Pneumatic Actuator,0.37525994,0.59445864,0.0551562,0.08638787,576,661,514,588
15,01bc6091-2346-4f30-be71-898ca7b2cf2e,1536,864,Control Panel,0.47372259999999994,0.6400974,0.09854015,0.17316018,728,879,553,703
16,01cc7513-688a-47ba-b3dc-76e64c7cfe3f,1536,864,Pneumatic Actuator,0.19026764,0.35135279999999997,0.24817519,0.2943723,292,673,304,558
17,01cc7513-688a-47ba-b3dc-76e64c7cfe3f,1536,864,Pneumatic Actuator,0.38491485,0.12191558,0.15450121,0.19696970000000003,591,829,105,276
18,01cfb01f-090b-4b47-8d27-738a40a4e9c7,360,640,Turbidimeter,0.12045312,0.16892499,0.50890166,0.43692476,43,227,108,388
19,01dac0e3-483d-46ef-b8a5-41260ae43ed5,1536,864,Control Panel,0.65358025,0.58053726,0.19753087,0.35745615,1004,1307,502,810
20,01e41774-a665-4572-b771-d7d57392d6dc,1536,864,Pneumatic Actuator,0.39343065,0.37299782,0.14720194,0.2099567,604,830,322,504
21,01e41774-a665-4572-b771-d7d57392d6dc,1536,864,Pneumatic Actuator,0.17810218,0.58511907,0.26642334,0.34199134,274,683,506,801
22,024ce430-96e8-49d4-aa83-5095ddd4a431,1536,864,Pneumatic Actuator,0.17201945,0.57213205,0.26277372,0.34848484,264,668,494,795
23,024ce430-96e8-49d4-aa83-5095ddd4a431,1536,864,Pneumatic Actuator,0.40340245,0.37163140000000006,0.13354373,0.19613287,620,825,321,491
24,024ece05-4c9f-4b16-ba69-7aa8ae3e7c40,360,640,Turbidimeter,0.17953214,0.19394563,0.6725146,0.56672156,65,307,124,487
25,0282ce6a-fb8d-4e56-9626-993c56f70064,360,640,Turbidimeter,0.22211982,0.23499432,0.48923796,0.48451254,80,256,150,460
26,0291479a-09e4-4a7c-80dd-24d5e069d3db,1536,864,Pneumatic Actuator,0.3618005,0.5483225,0.21532847,0.33549783,556,886,474,764
27,0291479a-09e4-4a7c-80dd-24d5e069d3db,1536,864,Pneumatic Actuator,0.5674726999999999,0.36794922,0.14949,0.21667953,872,1101,318,505
28,02c30d3c-7a1c-4e23-a0ec-a227cb8640c2,1536,864,Analyser,0.007901227,0.0761513,0.24074075,0.39473686,12,382,66,407
29,02d77ae7-8e92-4e8d-a959-0e9fa6bfe974,1536,864,Turbidimeter,0.25234568,0.39194077,0.20617284,0.32456142,388,704,339,619
